Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point
Queens,Pomonok Community-Run Farmers Market,67-09 Kissena Blvd,40.73502504,-73.81472491,Wednesday,9 a.m. - 4 p.m.,7/10/2019 -,Yes,No,No,No,"(40.73502504, -73.81472491)"
Staten Island,St. George Greenmarket,Hyatt St & St Marks Pl,40.641586,-74.0779,Saturday,9 a.m. - 1 p.m.,Year-Round,Yes,Yes,No,No,"(40.641586, -74.0779)"
Manhattan,Chelsea's Down to Earth Farmers Market,W 23rd St bet 8th & 9th Aves,40.745293,-73.998488,Saturday,9 a.m. - 4 p.m.,5/11/19-12/21/19,Yes,No,No,No,"(40.745293, -73.998488)"
Manhattan,Harvest Home Metropolitan Farmers Market,E 99th St & 3rd Ave,40.78712,-73.947923,Friday,8 a.m. - 4 p.m.,06/08/2019-11/16/2019,Yes,No,No,No,"(40.78712, -73.947923)"
Queens,Rockaway Youth Task Force Youth Market,310 Beach 58th St,40.594492,-73.788077,Saturday,9 a.m. - 3 p.m.,07/06/2019-11/23/2019,Yes,No,No,No,"(40.594492, -73.788077)"
Brooklyn,Harvest Home Coney Island Hospital Farmers Market,Ocean Pkwy bet Avenue Z & Shore Pkwy,40.58667,-73.96615,Wednesday & Friday,8 a.m. - 4 p.m.,06/05/2019-11/20/2019,Yes,No,No,No,"(40.58667, -73.96615)"
Bronx,La Familia Verde Farmers Market,E Tremont Ave bet LaFontaine & Arthur Aves,40.846487,-73.894337,Tuesday,8 a.m. - 3 p.m.,07/09/2019-11/12/2019,Yes,No,Yes,No,"(40.846487, -73.894337)"
Brooklyn,Urban Oasis Farmers Market,681 Clarkson Ave,40.656255,-73.936608,Wednesday,2 - 5:30 p.m.,06/26/2019-11/06/2019,No,No,No,No,"(40.656255, -73.936608)"
Brooklyn,RB Rheingold Archway Farmers Market,553 Bushwick Ave,40.699408,-73.935672,Sunday,10 a.m. - 4 p.m.,05/19/2019-12/1/2019,Yes,No,No,No,"(40.699408, -73.935672)"
Manhattan,Harvest Home 125th Street Market,W 125th St & Adam Clayton Powell Jr Blvd,40.808973,-73.948325,Tuesday,8 a.m. - 6 p.m.,06/26/2019-11/27/2019,Yes,No,No,No,"(40.808973, -73.948325)"
Manhattan,Union Square Greenmarket,E 17th St & Union Square W,40.737133,-73.990329,"Monday,
Wednesday,
Friday & Saturday",8 a.m. - 6 p.m.,Year-Round,Yes,Yes,No,No,"(40.737133, -73.990329)"
Queens,Jamaica's Down to Earth Farmers Market - Friday market,Parsons Blvd bet Jamaica & Archer Aves,40.703342,-73.799921,Friday,8:30 a.m. - 4 p.m.,6/14/19-11/22/19,Yes,No,No,No,"(40.703342, -73.799921)"
Manhattan,Essex Crossing Farm Stand,115 Essex St,40.719322,-73.987817,Wednesday & Saturday,9 a.m. - 5 p.m.,07/08/2019-11/22/2019,Yes,No,No,No,"(40.719322, -73.987817)"
Manhattan,Morningside Park's Down to Earth Farmers Market,W 110th St & Manhattan Ave,40.801155,-73.959647,Saturday,9 a.m. - 4 p.m.,Year-Round (summer hours 05/11/19-11/30/19),Yes,Yes,No,No,"(40.801155, -73.959647)"
